Sender;Emfpänger;Sendeort vor 1710 (Name) ;Sendeort vor 1710 (lat-long) ;Sendeort unklar (Name);Sendeort unklar (lat-long);Sendeort nach 1710 (Name);Sendeort nach 1710 (lat-long) ;Empfangsort (unzuverlässig) ;Empfangsort (lat-long);Datum
Scharschmidt, Justus Samuel;Francke, August Hermann;Erfurt;50.9777974, 11.0287364;;;;;Erfurt;;1692.07.17
Scharschmidt, Justus Samuel;Francke, August Hermann;Erfurt;50.9777974, 11.0287364;;;;;"Erfurt; Wasungen";;1692.11.04
Scharschmidt, Justus Samuel;Francke, August Hermann;Erfurt;50.9777974, 11.0287364;;;;;Erfurt;;1692.11.12
Scharschmidt, Justus Samuel;Francke, August Hermann;Erfurt;50.9777974, 11.0287364;;;;;Erfurt;;1692.11.26
Scharschmidt, Justus Samuel;Francke, August Hermann;Quedlinburg;51.7855428, 11.1519933;;;;;Quedlinburg;;1693.09.14
Scharschmidt, Justus Samuel;Francke, August Hermann;Quedlinburg;51.7855428, 11.1519933;;;;;"Quedlinburg; Erfurt";;1693.11.03
Scharschmidt, Justus Samuel;Francke, August Hermann;Königsberg;54.710128, 20.5105838;;;;;Königsberg;;1694.08.26
Scharschmidt, Justus Samuel;unknown;Königsberg;54.710128, 20.5105838;;;;;unknown;;1694.10.01
Scharschmidt, Justus Samuel;Francke, August Hermann;;;Koikel [Koikla?];58.4741028, 22.7776902;;;"Koikel; Königsberg; Riga; Libau; Dorpat; Pernau";;1695.03.07
Scharschmidt, Justus Samuel;Francke, August Hermann;Dorpat;58.3801207, 26.72245;;;;;"Dorpat; Koikel; Moskau";;1696.01.27
Scharschmidt, Justus Samuel;Francke, August Hermann;;;Koikel;58.4741028, 22.7776902;;;"Koikel; Livland; Moskau; Riga";;1696.04.23
Scharschmidt, Justus Samuel;Francke, August Hermann;Pleskau;57.817398, 28.334368;;;;;"Pleskau; Moskau";;1696.06.12
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Tweer";;1696.09.22
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Halle (Saale)";;1697.01.25
Scharschmidt, Justus Samuel;Ludolf, Heinrich Wilhelm;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Russland; Narva; Sibirien; Königsberg; Halle (Saale)";;1697.07.01
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Halle (Saale); Narva";;1697.09.30
Scharschmidt, Justus Samuel;unknown;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1697.09.30
Scharschmidt, Justus Samuel;Schrader, Franz Lorenz;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1697.11.11
Scharschmidt, Justus Samuel;Francke, August Hermann;Narva;59.3794142, 28.1993892;;;;;"Riga; Narva; Lübeck; Moskau; Halle (Saale); Stockholm";;1698.02.19
Scharschmidt, Justus Samuel;Ludolf, Heinrich Wilhelm;Narva;59.3794142, 28.1993892;;;;;"Narva; Amsterdam; Halle (Saale); Königsberg; Moskau; Deutschland";;1698.03.04
Scharschmidt, Justus Samuel;Francke, August Hermann;Narva;59.3794142, 28.1993892;;;;;"Narva; Halle (Saale)";;1698.03.04
Scharschmidt, Justus Samuel;Francke, August Hermann;Dorpat;58.3801207, 26.72245;;;;;Dorpat;;1698.03.18
Scharschmidt, Justus Samuel;Francke, August Hermann;Narva;59.3794142, 28.1993892;;;;;"Narva; Dorpat";;1698.04.22
Scharschmidt, Justus Samuel;Scharschmidt, Christian Friedrich;Narva;59.3794142, 28.1993892;;;;;Narva;;1698.05.17
Scharschmidt, Justus Samuel;Francke, August Hermann;Narva;59.3794142, 28.1993892;;;;;Narva;;1698.06.11
Scharschmidt, Justus Samuel;unknown;unknown;;;;;;unknown;;1698.06.11
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1698.08.05
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Wien";;1698.09.02
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Narva; Königsberg";;1698.09.30
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Livland; Königsberg; Halle (Saale); Riga";;1699.02.02
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1699.02.04
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Riga";;1699.05.03
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Königsberg";;1699.11.11
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Königsberg; Dresden";;1699.11.14
