Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
"Scharschmidt, Justus Samuel",Erfurt,"Francke, August Hermann", 11.0287364,50.9777974,1692-07-17,,,
"Scharschmidt, Justus Samuel",Erfurt,"Francke, August Hermann", 11.0287364,50.9777974,1692-11-04,,,
"Scharschmidt, Justus Samuel",Erfurt,"Francke, August Hermann", 11.0287364,50.9777974,1692-11-12,,,
"Scharschmidt, Justus Samuel",Erfurt,"Francke, August Hermann", 11.0287364,50.9777974,1692-11-26,,,
"Scharschmidt, Justus Samuel",Quedlinburg,"Francke, August Hermann", 11.1519933,51.7855428,1693-09-14,,,
"Scharschmidt, Justus Samuel",Quedlinburg,"Francke, August Hermann", 11.1519933,51.7855428,1693-11-03,,,
"Scharschmidt, Justus Samuel",Königsberg,"Francke, August Hermann", 20.5105838,54.710128,1694-08-26,,,
"Scharschmidt, Justus Samuel",Königsberg,unknown, 20.5105838,54.710128,1694-10-01,,,
"Scharschmidt, Justus Samuel",Koikel,"Francke, August Hermann",22.7776902,58.4741028,1695-03-07,,,
"Scharschmidt, Justus Samuel",Dorpat,"Francke, August Hermann",26.72245,58.3801207,1696-01-27,,,
"Scharschmidt, Justus Samuel",Koikel,"Francke, August Hermann",22.7776902,58.4741028,1696-04-23,,,
"Scharschmidt, Justus Samuel",Pleskau,"Francke, August Hermann", 28.334368,57.817398,1696-06-12,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1696-09-22,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1697-01-25,,,
"Scharschmidt, Justus Samuel",Moskau,"Ludolf, Heinrich Wilhelm", 37.6174943,55.7504461,1697-07-01,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1697-09-30,,,
"Scharschmidt, Justus Samuel",Moskau,unknown, 37.6174943,55.7504461,1697-09-30,,,
"Scharschmidt, Justus Samuel",Moskau,"Schrader, Franz Lorenz", 37.6174943,55.7504461,1697-11-11,,,
"Scharschmidt, Justus Samuel",Narva,"Francke, August Hermann", 28.1993892,59.3794142,1698-02-19,,,
"Scharschmidt, Justus Samuel",Narva,"Ludolf, Heinrich Wilhelm", 28.1993892,59.3794142,1698-03-04,,,
"Scharschmidt, Justus Samuel",Narva,"Francke, August Hermann", 28.1993892,59.3794142,1698-03-04,,,
"Scharschmidt, Justus Samuel",Dorpat,"Francke, August Hermann", 26.72245,58.3801207,1698-03-18,,,
"Scharschmidt, Justus Samuel",Narva,"Francke, August Hermann", 28.1993892,59.3794142,1698-04-22,,,
"Scharschmidt, Justus Samuel",Narva,"Scharschmidt, Christian Friedrich", 28.1993892,59.3794142,1698-05-17,,,
"Scharschmidt, Justus Samuel",Narva,"Francke, August Hermann", 28.1993892,59.3794142,1698-06-11,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1698-08-05,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1698-09-02,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1698-09-30,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1699-02-02,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1699-02-04,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1699-05-03,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1699-11-11,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1699-11-14,,,
"Scharschmidt, Justus Samuel",Abo,"Francke, August Hermann", 22.2670522,60.4517531,1700-04-11,,,
"Scharschmidt, Justus Samuel",Kopenhagen,"Francke, August Hermann", 12.5700724,55.6867243,1700-05-28,,,
"Scharschmidt, Justus Samuel",Hamburg,"Francke, August Hermann", 10.000654,53.550341,1700-07-29,,,
"Scharschmidt, Justus Samuel",Quedlinburg,"Francke, August Hermann", 11.1519933,51.7855428,1700-08-26,,,
"Scharschmidt, Justus Samuel",Berlin,"Francke, August Hermann", 13.3888599,52.5170365,1700-09-21,,,
"Scharschmidt, Justus Samuel",Berlin,"Francke, August Hermann", 13.3888599,52.5170365,1700-09-24,,,
"Scharschmidt, Justus Samuel",Königsberg,"Francke, August Hermann", 20.5105838,54.710128,1700-10-28,,,
"Scharschmidt, Justus Samuel",Königsberg,"Francke, August Hermann", 20.5105838,54.710128,1700-11-14,,,
"Scharschmidt, Justus Samuel",Wilna,"Francke, August Hermann", 25.2829111,54.6870458,1701-01-14,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1701-02-24,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1701-04-15,,,
"Scharschmidt, Justus Samuel",Moskau,"Francke, August Hermann", 37.6174943,55.7504461,1701-04-15,,,
