#66,#40,#41,#25,#62 
1701.04.15,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Astrachan; Nowgorod; Asov; Halle (Saale)
1701.09.10,"Scharschmidt, Justus Samuel","Spener, Philipp Jakob",Astrachan,unknown
1718.11.08,"Scharschmidt, Justus Samuel","Francke, August Hermann",Halle (Saale),Halle (Saale)
1692.07.17,"Scharschmidt, Justus Samuel","Francke, August Hermann",Erfurt,Erfurt
1692.11.26,"Scharschmidt, Justus Samuel","Francke, August Hermann",Erfurt,Erfurt
1692.11.04,"Scharschmidt, Justus Samuel","Francke, August Hermann",Erfurt,Erfurt; Wasungen
1692.11.12,"Scharschmidt, Justus Samuel","Francke, August Hermann",Erfurt,Erfurt
1693.11.03,"Scharschmidt, Justus Samuel","Francke, August Hermann",Quedlinburg,Quedlinburg; Erfurt
1694.08.26,"Scharschmidt, Justus Samuel","Francke, August Hermann",Königsberg,Königsberg
1695.03.07,"Scharschmidt, Justus Samuel","Francke, August Hermann",Koikel,Koikel; Königsberg; Riga; Libau; Dorpat; Pernau
1696.01.27,"Scharschmidt, Justus Samuel","Francke, August Hermann",Dorpat,Dorpat; Koikel; Moskau
1696.04.23,"Scharschmidt, Justus Samuel","Francke, August Hermann",Koikel,Koikel; Livland; Moskau; Riga
1696.06.12,"Scharschmidt, Justus Samuel","Francke, August Hermann",Pleskau,Pleskau; Moskau
1696.09.22,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Tweer
1697.01.25,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Halle (Saale)
1697.07.01,"Scharschmidt, Justus Samuel","Ludolf, Heinrich Wilhelm",Moskau,Moskau; Russland; Narva; Sibirien; Königsberg; Halle (Saale)
1697.09.30,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Halle (Saale); Narva
1698.02.19,"Scharschmidt, Justus Samuel","Francke, August Hermann",Narva,Riga; Narva; Lübeck; Moskau; Halle (Saale); Stockholm
1698.03.04,"Scharschmidt, Justus Samuel","Ludolf, Heinrich Wilhelm",Narva,Narva; Amsterdam; Halle (Saale); Königsberg; Moskau; Deutschland
1698.03.04,"Scharschmidt, Justus Samuel","Francke, August Hermann",Narva,Narva; Halle (Saale)
1698.03.18,"Scharschmidt, Justus Samuel","Francke, August Hermann",Dorpat,Dorpat
1698.04.22,"Scharschmidt, Justus Samuel","Francke, August Hermann",Narva,Narva; Dorpat
1698.06.11,"Scharschmidt, Justus Samuel","Francke, August Hermann",Narva,Narva
1698.08.05,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1698.09.02,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Wien
1698.09.30,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Narva; Königsberg
1699.02.02,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Livland; Königsberg; Halle (Saale); Riga
1699.02.04,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1699.05.03,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Riga
1699.11.11,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Königsberg
1699.11.14,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Königsberg; Dresden
1700.04.11,"Scharschmidt, Justus Samuel","Francke, August Hermann",Abo,Königsberg; Narva; Pernau; Abo
1700.05.28,"Scharschmidt, Justus Samuel","Francke, August Hermann",Kopenhagen,Abo; Kopenhagen
1700.07.29,"Scharschmidt, Justus Samuel","Francke, August Hermann",Hamburg,Hamburg; Amsterdam
1700.08.26,"Scharschmidt, Justus Samuel","Francke, August Hermann",Quedlinburg,Quedlinburg; Berlin; Halberstadt; Wernigerode; Osterode; Hannover; Lübeck; Moskau
